district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
ناحيه 2 گرگان,11396609,961119,970803,495,17866,2152,133,1235473,از کار افتاده,1397/03/19,,,14801000,16,مسكوني,5,0.75
ناحيه 3 گرگان,11508237,980219,990403,8,264,9609,520,1094077,از کار افتاده,1397/04/25,,36.8449,32231000,7,مسكوني,36,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11304488,980202,980730,180,4660,13493,74,1073267,قرائت نشده,1397/08/22,,,22200000,2,مسكوني,10,0.75
ناحيه 4 گرگان,41186848,970410,981228,235,5481,991,10,217197,از کار افتاده,1398/09/28,,,45064400,4,مسكوني,75,0.75
ناحيه روستايي گرگان,11231073,950230,990909,3221,5913,6486,75,109200,nan,1390/06/20,,273041.83418,14502500,28,مسكوني,100,0.75
ناحيه 3 گرگان,11392662,980916,950812,600,3363,7387,131,723105,از کار افتاده,1394/01/20,,,36033600,21,مسكوني,70,0.75
ناحيه 8 گرگان,11191110,960820,991025,241,7239,7717,336,419215,قرائت نشده,1391/01/30,,,42522900,10,مسكوني,80,0.75
ناحيه 6 گرگان,61690927,951017,970527,217,5459,16951,553,518625,nan,1393/11/27,,,17221200,28,مسكوني,10,0.75
ناحيه 6 گرگان,11576445,941014,980119,84,4062,8655,322,3152643,nan,1393/11/05,,,26250400,13,مسكوني,10,0.75
املاک استيجاري اموزشي  ,41189065,950814,970810,183,12869,5484,201,221561,از کار افتاده,1391/05/16,,271183.916165,11430600,28,مسكوني,60,0.75
ناحيه 7 گرگان,11471481,950407,961008,243,14321,7865,27,1166871,nan,1394/05/17,,,22272100,16,مسكوني,240,0.75
ناحيه 3 گرگان,11524941,980824,951017,249,14018,11771,486,1174674,از کار افتاده,1398/10/20,,,17230025,13,مسكوني,13,0.75
ناحيه 8 گرگان,11322044,970631,951112,202,2047,9665,700,251861,قرائت نشده,1398/04/05,4076587.90425,,73341200,12,مسكوني,50,0.75
ناحيه 9 گرگان,11524291,981015,950923,400,12593,16253,564,2985558,nan,1394/11/19,,271544.67974,74435500,6,مسكوني,36,0.75
ناحيه روستايي گرگان,11136194,951101,980502,53,1434,7908,483,2038928,از کار افتاده,1397/02/16,,274503.35182,46502547,18,مسكوني,104,0.75
ناحيه 3 گرگان,41159760,981227,961011,260,4100,16260,633,287058,از کار افتاده,1397/02/17,4079917.2195,275068.74724899995,43364600,4,مسكوني,104,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11307622,990409,970810,15,1506,12022,297,1413689,nan,1397/10/30,,,25104900,3,مسكوني,63,0.75
املاک استيجاري اموزشي  ,11505793,960116,950606,607,1758,7622,354,503314,nan,1394/06/03,4075765.99976,,22619100,17,مسكوني,131,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11306669,990209,950514,173,8887,2970,79,918123,از کار افتاده,1390/08/26,4076068.3965,36.847265,27027200,1,مسكوني,296,0.75
املاک استيجاري اموزشي  ,11318128,951023,990402,104,11399,8416,20,216355,از کار افتاده,1392/07/14,4080177.72414,,44555900,13,مسكوني,12,0.75
ناحيه 9 گرگان,11276271,970106,990421,86,8179,10166,537,185708,از کار افتاده,1397/11/29,,271584.464388,74222925,24,مسكوني,14,0.75
ناحيه 50 مراکز اداري دولتي ,11394100,950725,990926,255,9316,5901,80,826696,قرائت نشده,1388/11/20,,274813.82597,16980000,17,مسكوني,52,0.75
ناحيه 8 گرگان,11509900,960126,980301,119,4377,4332,334,1633640,قرائت نشده,1394/10/19,4079221.18275,271703.117158,23210902,6,مسكوني,11,0.75
ناحيه 6 گرگان,61691393,990126,960919,259,2071,2056,430,719936,nan,1393/03/22,,,14721500,24,مسكوني,240,0.75
ناحيه 3 گرگان,11187007,990504,971203,33,4981,15897,680,915963,از کار افتاده,1392/10/26,,,14700100,7,مسكوني,165,0.75
ناحيه 4 گرگان,11447530,950813,970524,99,2556,8748,84,2014245,nan,1391/11/05,4079299.1285,272953.171503,36343300,15,مسكوني,240,0.75
ناحيه 50 مراکز اداري دولتي ,11317202,960504,980128,926,12142,10670,563,857321,قرائت نشده,1394/01/28,,270920.637821,16646700,14,مسكوني,12,0.75
ناحيه 4 گرگان,11442091,990323,950730,137,21427,14167,458,75826,nan,1398/03/20,4078866.50721,273119.48445700004,16504900,6,مسكوني,70,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11557254,950518,980826,31,7568,3986,1051,867835,قرائت نشده,1396/03/02,,269881.145571,25055700,20,مسكوني,51,0.75
ناحيه 5 گرگان,41150258,960813,960419,378,13451,17724,809,545337,nan,1390/09/07,4080215.00601,273263.096256,26454400,17,مسكوني,11,0.75
ناحيه 8 گرگان,11599917,950730,950526,375,14508,1954,421,321846,قرائت نشده,1390/05/03,,,23012700,14,مسكوني,75,0.75
ناحيه 2 گرگان,11491041,971223,971021,190,6808,1361,401,3313242,قرائت نشده,1391/06/11,,,21402958,42,مسكوني,18,0.75
املاک استيجاري اموزشي  ,11506471,960109,980305,144,13324,16611,49,1616417,قرائت نشده,1397/10/22,4077051.29784,,41026900,20,مسكوني,0,0.75
املاک استيجاري اموزشي  ,11126385,961125,960204,363,5070,13615,520,834892,قرائت نشده,1397/03/31,4076761.52897,,15065100,1,مسكوني,62,0.75
ناحيه 4 گرگان,11197185,970710,991116,71,9755,15457,16,527928,قرائت نشده,1398/03/25,,271206.71426,25140400,10,مسكوني,15,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11196634,990521,970707,188,10478,16299,313,313473,از کار افتاده,1398/04/04,,,32754600,10,مسكوني,16,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11130013,971022,980318,119,2632,11602,229,981154,از کار افتاده,1398/12/11,4077093.16337,,21976500,16,مسكوني,61,0.75
ناحيه روستايي گرگان,11706968,970707,990314,237,1514,1515,358,777199,قرائت نشده,1389/03/17,,,32566855,7,مسكوني,22,0.75
ناحيه 9 گرگان,11268619,950321,961101,239,16651,6781,108,152899,nan,1393/07/03,,,14960700,42,مسكوني,32,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11163655,960121,960817,1,5350,10429,409,1675020,قرائت نشده,1394/07/22,,273032.068666,14032000,18,مسكوني,40,0.75
ناحيه 4 گرگان,41166511,990730,960418,208,11128,80,682,411699,قرائت نشده,1396/03/30,4079848.58044,,21141300,23,مسكوني,28,0.75
ناحيه 3 گرگان,11354493,981130,970315,178,14119,17984,667,1949545,nan,1390/08/10,4078399.45701,,43573600,18,مسكوني,165,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11370324,990307,990504,63,1965,19525,992,205255,nan,1395/12/16,,273021.694858,27102000,6,مسكوني,41,0.75
ناحيه 4 گرگان,41121771,970707,990924,346,6817,692,70,97445,از کار افتاده,1395/04/17,4077626.50998,273255.528623,43614500,11,مسكوني,0,0.75
ناحيه 1 گرگان,11504479,980417,960223,3,12528,12681,766,612155,nan,1392/09/09,4080811.33271,,25211300,12,مسكوني,20,0.75
ناحيه 7 گرگان,11356984,941227,980531,2222,9269,4856,700,378684,قرائت نشده,1397/07/29,,272829.988174,41410400,10,مسكوني,51,0.75
ناحيه 2 گرگان,11357492,971221,960620,432,169,6610,1,547607,از کار افتاده,1397/05/18,,,16560100,2,مسكوني,58,0.75
ناحيه 8 گرگان,11307495,961003,991003,81,6501,11550,723,1060447,از کار افتاده,1397/09/04,,271959.023761,54052100,12,مسكوني,77,0.75
ناحيه 8 گرگان,11310143,950328,990624,353,15366,5222,311,1158005,از کار افتاده,1395/05/13,4077533.77669,,16445300,8,مسكوني,165,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41132195,970722,990927,66,9547,6933,840,878688,از کار افتاده,1396/06/07,4078656.0427,,25200500,15,مسكوني,10,0.75
ناحيه 7 گرگان,41128104,981217,961009,317,1459,2163,76,236134,nan,1391/04/22,4079569.6079,270119.317006,21164400,28,مسكوني,7,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11482271,961207,981215,160,7393,18757,585,602559,از کار افتاده,1393/11/29,,,14762400,12,مسكوني,22,0.75
ناحيه 9 گرگان,41146129,970822,950206,852,22786,2432,612,933467,از کار افتاده,1397/03/06,,273124.8258,43614300,6,مسكوني,19,0.75
ناحيه روستايي گرگان,11514407,961015,980501,133,3328,7110,627,3092819,قرائت نشده,1393/09/20,4077424.59789,,23543100,8,مسكوني,114,0.75
ناحيه روستايي گرگان,11312529,980628,970302,143,350,188,445,504747,nan,1390/05/30,4080241.80221,272894.94456100004,52611115,10,مسكوني,30,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11410881,960215,970306,109,1022,6196,176,1038291,قرائت نشده,1394/11/18,,,65000206,24,مسكوني,16,0.75
ناحيه روستايي گرگان,11422243,980802,991130,235,12731,18625,1224,616582,قرائت نشده,1397/07/26,4075894.01104,,21481900,1,مسكوني,8,0.75
ناحيه 6 گرگان,11368605,980929,991102,155,15790,12708,271,482189,nan,1396/10/07,,,42875000,21,مسكوني,131,0.75
ناحيه 50 مراکز اداري دولتي ,11188780,960722,960530,166,1394,6796,274,840097,از کار افتاده,1395/05/20,,273344.972991,43531507,10,مسكوني,296,0.75
ناحيه 7 گرگان,11624369,980517,960223,310,24224,8496,426,661749,قرائت نشده,1390/01/10,,,14440300,10,مسكوني,50,0.75
ناحيه 1 گرگان,11348221,970803,960713,51,6511,6378,623,1252473,قرائت نشده,1393/02/15,4080057.25249,,12120600,7,مسكوني,296,0.75
ناحيه 7 گرگان,11697919,980716,990314,338,6820,11415,449,1739513,از کار افتاده,1398/07/02,,269125.920718,11050100,4,مسكوني,13,0.75
ناحيه 50 مراکز اداري دولتي ,11346806,980327,950728,177,13925,8259,540,696134,از کار افتاده,1397/05/09,4077910.11079,272441.856525,46000265,14,مسكوني,114,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41160644,970822,980724,2222,15233,12616,651,743396,nan,1392/02/10,,,11162100,23,مسكوني,10,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,61690474,950501,950718,345,10254,4835,371,411596,قرائت نشده,1395/02/07,4080566.67956,,16947300,12,مسكوني,10,0.75
ناحيه 5 گرگان,61691290,980620,990523,124,8506,11944,466,536681,قرائت نشده,1398/12/24,4080734.55709,273005.120318,15966100,24,مسكوني,7,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,61690465,990906,960223,15,13485,5261,505,2947735,از کار افتاده,1394/05/13,4082095.719180001,36.8474024,14771200,24,مسكوني,40,0.75
ناحيه 9 گرگان,41163058,970322,970404,254,9795,3174,416,389712,قرائت نشده,1397/10/28,4079362.91642,,22260000,20,مسكوني,24,0.75
ناحيه 2 گرگان,61695921,970618,980320,15,5032,6269,88,422648,nan,1394/07/20,,,16590500,8,مسكوني,18,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11174827,971012,990417,62,424,2585,518,234260,از کار افتاده,1393/09/20,,,11526200,21,مسكوني,62,0.75
ناحيه 5 گرگان,11371029,950714,990823,123,19123,9219,584,403565,از کار افتاده,1398/09/06,4076036.15535,,16560700,24,مسكوني,20,0.75
ناحيه روستايي گرگان,11160940,950431,950626,77,18393,12081,513,1230045,قرائت نشده,1391/10/28,4079075.45752,,42011900,14,مسكوني,100,0.75
ناحيه 4 گرگان,11691536,950620,950203,201,5744,5732,612,1134677,قرائت نشده,1398/08/28,4079879.5745,273011.98151,24002000,42,مسكوني,17,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41126365,971206,990429,368,6000,10612,865,332440,قرائت نشده,1397/03/27,4075234.41144,,22100305,7,مسكوني,8,0.75
ناحيه 50 مراکز اداري دولتي ,11476491,961118,990808,273,8305,2983,130,1140309,از کار افتاده,1395/09/30,,,16835200,28,مسكوني,16,0.75
ناحيه 7 گرگان,11676002,960626,970504,196,16265,3929,288,1355808,nan,1391/10/17,,,42134500,14,مسكوني,61,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11525450,970324,971206,307,13149,23428,604,798495,قرائت نشده,1390/08/26,4081519.0335,,16454300,14,مسكوني,114,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11311794,950526,950715,20,3664,12315,362,1943296,قرائت نشده,1390/04/09,4076439.985330001,,74230400,42,مسكوني,165,0.75
ناحيه 1 گرگان,41156850,971025,970909,221,2425,15679,129,1065445,nan,1390/05/26,,,16510600,4,مسكوني,24,0.75
ناحيه روستايي گرگان,11505769,950321,970409,9,11699,14630,52,606471,قرائت نشده,1399/02/21,4081272.2179,272854.57681400003,25231500,7,مسكوني,28,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,61695265,970725,951001,870,261,208,331,367699,nan,1399/11/17,,272359.778547,22612300,16,مسكوني,60,0.75
ناحيه 6 گرگان,11607189,950223,981006,92,9089,241,200,1097505,قرائت نشده,1395/12/02,,273298.082046,63212900,1,مسكوني,12,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11307169,940918,990922,207,19661,8893,629,800887,nan,1390/03/12,4080447.20227,,81100500,3,مسكوني,0,0.75
ناحيه 5 گرگان,41151114,960126,970728,125,20715,11623,216,1240669,قرائت نشده,1393/01/19,,,21410600,5,مسكوني,30,0.75
ناحيه 3 گرگان,41169889,970804,980524,13,4619,18397,271,1065632,از کار افتاده,1399/12/06,,272026.662276,62106800,18,مسكوني,72,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11438221,980405,960617,141,11804,4726,35,750715,از کار افتاده,1398/06/27,4079336.76186,273772.98968400003,51692800,11,مسكوني,36,0.75
ناحيه 8 گرگان,11174070,950222,961229,400,3110,129,64,283910,قرائت نشده,1398/01/31,4077144.56962,272718.087241,44140600,24,مسكوني,41,0.75
ناحيه 9 گرگان,11432427,980528,990922,158,6169,18088,296,361673,nan,1392/04/26,4076898.04806,,26497100,21,مسكوني,37,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11487426,960710,950702,221,8289,7310,322,443960,nan,1391/03/04,,272481.26592399995,45223400,12,مسكوني,7,0.75
ناحيه 50 مراکز اداري دولتي ,11334123,961124,980729,145,11521,11386,503,1385014,قرائت نشده,1395/06/01,,,63260900,11,مسكوني,62,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41125326,950824,950702,91,4984,1302,507,1035537,قرائت نشده,1392/04/10,4078171.21402,,81100500,9,مسكوني,240,0.75
ناحيه 2 گرگان,11485466,981215,971021,193,8602,4198,298,520418,nan,1396/06/21,4075409.6011,,16616000,28,مسكوني,198,0.75
ناحيه 7 گرگان,11230611,980502,951003,220,562,7724,769,629354,از کار افتاده,1396/11/09,54.397535,,16845400,21,مسكوني,10,0.75
ناحيه 4 گرگان,11503481,950930,971018,373,11177,6543,138,921124,از کار افتاده,1394/09/16,4081197.17184,,63202800,5,مسكوني,240,0.75
ناحيه 8 گرگان,11312537,960307,960828,233,6281,1622,99,1919658,nan,1393/05/15,4077742.32268,,65430500,12,مسكوني,28,0.75
ناحيه 5 گرگان,11247531,990818,960403,40,18954,2837,460,812678,قرائت نشده,1392/12/13,4080486.35752,272317.936595,12210700,18,مسكوني,70,0.75
ناحيه 1 گرگان,11283847,950603,990309,352,3825,18164,158,538718,nan,1394/03/12,4078529.66851,,14871400,3,مسكوني,48,0.75
ناحيه 8 گرگان,11472313,990322,981118,99,1608,514,698,957323,از کار افتاده,1398/12/18,4077840.04163,,16551600,15,مسكوني,131,0.75
ناحيه 3 گرگان,11292196,941022,950823,80,9469,3343,211,1067898,از کار افتاده,1397/12/24,,271251.473841,16802200,14,مسكوني,40,0.75
ناحيه 1 گرگان,11610414,970108,961119,443,8130,867,292,965927,nan,1393/02/29,,,51782700,3,مسكوني,27,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11223267,990926,970927,1210,9100,1280,612,427434,قرائت نشده,1399/09/08,,272573.826924,17261858,13,مسكوني,32,0.75
ناحيه 3 گرگان,41155608,980929,970821,425,8423,13778,1151,1141090,nan,1394/10/28,4079912.3615,,24014000,14,مسكوني,28,0.75
ناحيه 50 مراکز اداري دولتي ,11147617,950702,951016,124,11671,641,406,332938,قرائت نشده,1390/06/20,4081272.2179,,21013400,14,مسكوني,66,0.75
ناحيه 2 گرگان,11606140,970521,971130,385,16280,3531,599,227798,از کار افتاده,1394/03/04,,273964.19047,31130300,28,مسكوني,37,0.75
ناحيه 4 گرگان,41185621,981009,960225,256,5461,12026,155,114699,nan,1395/03/09,,,25044900,1,مسكوني,7,0.75
ناحيه 3 گرگان,11407295,961118,980531,368,6858,6305,432,599869,قرائت نشده,1390/06/16,,,63034400,18,مسكوني,12,0.75
ناحيه 8 گرگان,41140872,980828,950218,149,8555,4066,441,1502185,nan,1393/01/10,,,74551555,16,مسكوني,62,0.75
ناحيه 6 گرگان,11495534,980508,970121,651,10320,17219,694,285664,قرائت نشده,1395/06/25,,,14382000,15,مسكوني,40,0.75
ناحيه 2 گرگان,11316681,991004,970415,17,5477,3871,952,690227,از کار افتاده,1392/11/17,,,17204200,1,مسكوني,79,0.75
ناحيه روستايي گرگان,11422111,960523,950204,306,12459,12548,354,394050,از کار افتاده,1393/08/23,4079077.50005,271853.981945,22136800,17,مسكوني,12,0.75
ناحيه 6 گرگان,11483552,970117,990612,58,3356,10851,26,178473,nan,1393/07/12,4080430.00852,,17203500,24,مسكوني,131,0.75
ناحيه 4 گرگان,11512048,970820,960217,181,17902,9422,664,1134476,از کار افتاده,1394/10/11,4081300.97682,,21754500,24,مسكوني,104,0.75
ناحيه روستايي گرگان,61689657,991111,960713,377,145,2423,152,189338,قرائت نشده,1389/12/07,4079318.64539,,63034200,17,مسكوني,79,0.75
ناحيه 1 گرگان,11166590,990511,980206,53,3338,4751,425,72303,از کار افتاده,1394/04/03,,272829.988174,62653300,9,مسكوني,100,0.75
املاک استيجاري اموزشي  ,11336011,951030,950828,352,14210,1176,584,163485,از کار افتاده,1398/04/12,4077524.7703,,11503100,11,مسكوني,131,0.75
ناحيه 3 گرگان,11123343,971016,961104,383,7276,4805,581,2122075,قرائت نشده,1391/09/16,,,63111700,7,مسكوني,43,0.75
ناحيه 4 گرگان,11143280,950907,990310,48,13554,18483,254,172209,قرائت نشده,1393/05/15,,272684.225773,25240100,9,مسكوني,50,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11484893,980215,971202,43,5792,2223,217,751638,nan,1398/07/02,,271667.156447,14550100,28,مسكوني,7,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11316451,960629,951005,41,6192,3799,96,1664685,از کار افتاده,1390/02/12,,273198.185736,42134700,8,مسكوني,9,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11162195,990310,980710,357,6968,12595,181,728499,nan,1394/06/03,,,63461400,24,مسكوني,37,0.75
ناحيه 50 مراکز اداري دولتي ,11258001,961129,951024,147,6865,20086,253,183105,قرائت نشده,1398/07/24,4082853.33186,,17833200,8,مسكوني,37,0.75
ناحيه 50 مراکز اداري دولتي ,11706668,950401,960330,399,17000,775,480,261830,قرائت نشده,1394/08/11,,,14661700,23,مسكوني,77,0.75
ناحيه 2 گرگان,11373447,960822,991201,29,2173,7755,46,1291633,nan,1394/02/22,4081171.39922,,21634000,20,مسكوني,70,0.75
ناحيه 1 گرگان,11286056,960212,950227,49,459,4472,642,346625,nan,1395/12/17,,273008.45822,27080900,2,مسكوني,18,0.75
ناحيه 3 گرگان,11126156,990129,970621,372,98,1632,569,1021880,از کار افتاده,1396/04/22,,272464.498519,16847900,2,مسكوني,41,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11320416,950405,970215,122,7661,8691,114,649018,nan,1396/05/28,4079351.32717,,16726500,5,مسكوني,27,0.75
ناحيه 6 گرگان,11476459,950827,981028,203,5507,12999,129,590140,nan,1398/12/25,,272709.947194,25004100,18,مسكوني,240,0.75
ناحيه روستايي گرگان,61690177,960528,971103,27,20285,2983,604,661254,nan,1392/08/26,,,26494600,21,مسكوني,100,0.75
ناحيه روستايي گرگان,11124790,990125,971225,313,14951,4816,342,532719,nan,1396/10/09,,272433.113811,63015025,5,مسكوني,5,0.75
ناحيه 2 گرگان,11475657,981016,950928,362,9570,6917,312,150389,قرائت نشده,1397/11/01,,,21044500,3,مسكوني,75,0.75
ناحيه 2 گرگان,11313347,980426,980730,186,8328,9309,572,1364273,قرائت نشده,1394/12/24,,,25041300,20,مسكوني,8,0.75
ناحيه 8 گرگان,11191853,960321,990802,15,22455,5733,342,455374,از کار افتاده,1396/04/05,,272721.781096,74201201,28,مسكوني,60,0.75
ناحيه 1 گرگان,11306138,990623,951012,112,9800,47,88,2798845,از کار افتاده,1392/02/15,4075719.58248,,25222200,24,مسكوني,24,0.75
ناحيه 5 گرگان,11524127,981123,960510,353,13804,18206,331,1886996,nan,1396/11/03,,,25300200,10,مسكوني,75,0.75
ناحيه 4 گرگان,11297198,981008,951123,56,140,8769,233,86095,از کار افتاده,1394/05/17,,,62442100,21,مسكوني,60,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11418297,971225,991001,230,15425,12117,686,1553989,از کار افتاده,1394/10/23,54.4364233333333,272955.284196,42481400,3,مسكوني,40,0.75
ناحيه 7 گرگان,11294270,990430,970119,108,1097,15900,216,298367,قرائت نشده,1395/05/07,4078275.99909,,25183955,7,مسكوني,72,0.75
ناحيه 5 گرگان,11558056,951222,960711,38,4827,3678,1069,713479,از کار افتاده,1395/08/02,,,46342752,10,مسكوني,100,0.75
املاک استيجاري اموزشي  ,41163937,950201,970912,246,4908,4482,700,1529167,از کار افتاده,1399/04/03,4077986.11526,36.8469583333333,16557100,14,مسكوني,19,0.75
ناحيه 50 مراکز اداري دولتي ,11235613,960628,961127,109,7934,4013,469,466918,از کار افتاده,1389/12/08,4081307.38316,272658.128768,14135900,11,مسكوني,23,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41156132,971113,950306,34,2476,9477,1015,362278,قرائت نشده,1398/08/01,4078246.11642,272680.973442,46624100,15,مسكوني,72,0.75
ناحيه 3 گرگان,11185900,960126,971205,716,2993,9359,93,794540,از کار افتاده,1390/05/20,,,21110000,10,مسكوني,114,0.75
ناحيه 6 گرگان,11227530,970624,970126,11,7248,1855,191,358310,از کار افتاده,1390/12/06,,272982.039504,16556745,21,مسكوني,61,0.75
ناحيه 4 گرگان,11275976,991009,950309,88,11029,21414,320,1529284,قرائت نشده,1390/11/08,4075669.7406,,16724700,1,مسكوني,65,0.75
ناحيه 4 گرگان,11665993,941109,971220,93,6688,11416,520,623982,قرائت نشده,1399/10/18,,,26214700,42,مسكوني,100,0.75
ناحيه 4 گرگان,11662319,981114,991014,247,2300,6359,585,239655,nan,1399/07/14,,,16845400,8,مسكوني,8,0.75
املاک استيجاري اموزشي  ,11314131,941213,971119,187,6601,10321,630,620569,قرائت نشده,1396/11/02,4079733.1507,273260.103887,45181300,24,مسكوني,72,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11506641,950901,970721,9,9664,7208,111,354327,nan,1393/06/08,4080218.99936,,42014700,7,مسكوني,60,0.75
ناحيه 5 گرگان,11172131,990906,970401,10,16011,2134,556,829299,قرائت نشده,1396/08/03,4079155.34064,,23440113,17,مسكوني,50,0.75
ناحيه 3 گرگان,11340123,970620,980910,292,7320,9036,249,1504131,nan,1396/10/01,4077144.56962,,46631900,18,مسكوني,72,0.75
املاک استيجاري اموزشي  ,11328239,950621,980414,149,15079,9035,938,192366,nan,1396/11/03,4080098.85751,271783.038556,16644400,28,مسكوني,41,0.75
ناحيه 6 گرگان,11362267,990707,970624,87,178,1950,240,231645,nan,1393/01/27,,,23681000,14,مسكوني,131,0.75
ناحيه 8 گرگان,61693686,950110,970705,236,9606,7814,427,1534185,nan,1396/03/28,,,43117300,23,مسكوني,28,0.75
ناحيه 6 گرگان,11708877,980701,981017,26,9637,26809,363,696840,قرائت نشده,1392/09/05,,,23383200,20,مسكوني,6,0.75
ناحيه 7 گرگان,11178997,970323,971204,10,619,12881,459,538080,از کار افتاده,1389/12/17,,,21974400,6,مسكوني,18,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11711827,960514,980230,24,7957,8774,663,921810,nan,1392/10/08,,271846.373706,16551700,21,مسكوني,20,0.75
ناحيه 9 گرگان,61688495,970410,980411,205,14885,4512,237,416972,nan,1397/10/19,,273027.582479,21560300,6,مسكوني,63,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11661264,940603,990611,383,12622,13024,1039,1638835,nan,1392/06/17,,271000.4457,26250945,10,مسكوني,42,0.75
ناحيه روستايي گرگان,61691636,990807,980303,192,7061,26177,734,948762,nan,1395/06/07,,,43562700,6,مسكوني,114,0.75
ناحيه 6 گرگان,11311310,980723,981216,272,2923,2779,25,310722,nan,1395/02/28,,,65476100,10,مسكوني,77,0.75
ناحيه 5 گرگان,11430777,960429,950627,96,9629,10026,826,257230,از کار افتاده,1394/01/28,,271333.53939,22613100,1,مسكوني,70,0.75
ناحيه 8 گرگان,11116461,981002,971101,870,1145,4070,306,484376,از کار افتاده,1392/12/26,,,26210100,42,مسكوني,63,0.75
ناحيه 6 گرگان,41183351,980301,950401,189,3294,1315,524,1135574,nan,1398/04/03,,,42720100,12,مسكوني,10,0.75
ناحيه 50 مراکز اداري دولتي ,11428934,951020,951011,34,1188,25998,618,478941,قرائت نشده,1397/05/11,,272878.895072,23701500,17,مسكوني,52,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11221981,971214,980615,113,3557,5301,504,1979712,nan,1390/08/25,,,25005800,10,مسكوني,131,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11315196,971228,980501,187,2435,18754,509,111786,از کار افتاده,1391/12/17,4079598.93385,272840.088178,25143100,9,مسكوني,51,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,61694135,971201,970115,366,2185,9994,448,466494,nan,1390/01/10,4080124.22957,,16941500,28,مسكوني,51,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11424661,980326,961119,92,201,6856,451,1323719,nan,1399/11/11,4079507.44892,,25271700,18,مسكوني,296,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11238205,950812,950421,75,146,11861,216,1162640,nan,1395/10/25,4078449.24488,271591.764981,16681800,23,مسكوني,51,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11527363,951024,961015,209,7678,9075,1051,1158908,از کار افتاده,1397/05/07,,273062.36930900003,51381700,20,مسكوني,58,0.75
املاک استيجاري اموزشي  ,11258591,961117,980526,317,15126,13999,247,593769,قرائت نشده,1395/10/20,,,51451300,28,مسكوني,131,0.75
ناحيه 1 گرگان,11344463,990304,980311,112,3045,13878,177,588031,از کار افتاده,1398/07/02,4079636.82051,271881.668728,11453100,11,مسكوني,15,0.75
